identyfikator;numer;litera;Warunek;negRPplus;pozRPplus;negRPminus;pozRPminus;negNRP;pozNRP;OdpRPplus;OdpRPminus;OdpNRP;wiek;plec;nastroj;SSPP_1;SSPP_2;SSPP_3;SSPP_4;SSPP_5;SSPP_6;SSPP_7;SSPP_8;SSPP_9;SSPP_10;SSPP_11;SSPP_12;SSPP_13;SSPP_14;SSPP_15;SSPP_16;SSPP_17;SSPP_18;SSPP_19;SSPP_20;SSPP_21;SSPP_22;SSPP_23;SSPP_24;SSPP_25;SSPP_26;SSPP_27;SSPP_8_R;SSPP_26_R;KU_1;KU_2;KU_3;KU_4;KU_5;KU_6;KU_7;KU_8;KU_9;KU_10;KU_11;KU_12;KU_13;KU_14;KU_15;KU_16;KU_17;KU_18;KU_19;KU_20;srePromocja;srePrewencja;rozPromPrew;PromocjaKontrola;PromocjaStandardy;PrewencjaStandardy;PrewencjaKontrola;PrewencjaSuma;PromocjaSuma;Sila;RPplusRoz;RPminusRoz;NRPRoz;RIF;bledy;RPbledy;NRPbledy;NASTAWIENIE;KU_1_R;KU_2_R;KU_3_R;KU_6_R;KU_7_R;KU_8_R;KU_11_R;KU_12_R;KU_15_R;KU_16_R;KU_20_R;AF;AS;AS_med;AF_med;KKU_suma;ZOdpRPminus;ZKKU_suma;ZAF;ZAS;warc;inter_SKU_war;inter_SKU_war1
46A;46;A;2;869,6666666667;1022;642,75;1627,75;665,7777777778;865,7142857143;0,625;0,125;0,25;24;2;4;4;3;3;4;5;4;2;3;4;3;4;4;3;4;3;2;2;4;5;4;3;3;3;2;3;3;3;3;3;3;2;1;2;1;2;2;2;3;3;3;1;3;2;3;2;3;2;2;2;3,8888888889;3;0,8888888889;16;19;16;17;33;35;22;-152,3333333333;-985;-199,9365079365;0,125;1;1;;;2;2;3;4;3;3;3;2;4;2;3;3;26;27;2;2;53;-0,6860937168;0,0411052552;0,0756729284;-0,0058478251;0;0
15B;15;B;2;763,75;1102;1302,3333333333;1042;934,75;1302,25;0,875;0,125;0,1875;22;1;4;5;2;4;4;4;3;2;2;4;4;3;3;3;4;2;4;3;5;5;5;2;5;4;4;3;2;3;4;4;2;3;2;1;2;3;2;1;3;4;4;2;3;4;3;3;4;4;3;4;4,1111111111;3,0909090909;1,0202020202;18;19;14;20;34;37;27;-338,25;260,3333333333;-367,5;0,0625;0;;;;;2;3;2;3;2;3;4;1;3;2;2;1;27;27;2;2;54;-0,6860937168;0,1617518485;0,2817221068;-0,0058478251;0
20B;20;B;2;1305,6666666667;2656;1932,6666666667;2239,75;1266;1162,3333333333;0,25;0,125;0,1875;27;2;5;4;3;4;2;4;3;4;1;2;4;2;2;2;4;3;2;3;4;4;4;4;3;4;3;3;3;4;5;3;2;2;1;2;2;2;2;2;2;3;2;2;3;3;1;2;2;2;3;3;3,8888888889;2,7272727273;1,1616161616;16;19;8;22;30;35;24;-1350,3333333333;-307,0833333333;103,6666666667;0,0625;0;;;;;2;3;3;4;3;3;3;3;3;4;3;2;27;29;2;2;56;-0,6860937168;0,4030450351;0,2817221068;0,4346883325;0
23C;23;C;2;688;632,6666666667;559,5;595,6666666667;810,3;703;0,875;0,375;0,375;33;1;4;5;4;4;2;2;2;2;2;2;3;3;4;5;5;5;1;1;4;4;3;3;5;4;1;2;3;4;4;3;2;2;2;2;3;1;2;4;2;3;4;1;3;2;2;3;4;3;4;2;3,7777777778;2,2727272727;1,5050505051;18;16;11;14;25;34;28;55,3333333333;-36,1666666667;107,3;0;0;;;;;2;3;3;3;4;3;1;1;4;3;2;3;27;29;2;2;56;0,4294255638;0,4030450351;0,2817221068;0,4346883325;0
20C;20;C;2;735;835,6666666667;787;799,6;893,2727272727;722,4;0,625;0,5;0,1875;23;2;4;5;4;5;5;3;4;3;2;3;5;3;2;5;2;1;4;3;5;4;4;3;4;4;4;3;2;2;4;4;2;1;2;3;2;1;1;2;3;3;2;2;3;3;1;1;2;2;3;2;3,7777777778;3,3636363636;0,4141414141;16;18;13;24;37;34;27;-100,6666666667;-12,6;170,8727272727;-0,3125;1;;;1;2;3;4;3;4;4;3;3;3;4;4;3;31;31;2;2;62;0,987185204;1,1269245949;1,1059188207;0,8752244901;0;0
1B;1;B;2;756,75;992,75;948,3333333333;1068,8;831,4;1148,1666666667;0,375;0,625;0,4375;25;1;5;5;5;4;4;4;4;4;2;4;4;4;3;2;5;4;4;4;5;5;4;4;4;4;4;4;2;4;4;4;3;1;2;3;2;3;2;2;3;4;2;1;4;3;2;2;4;3;3;1;4,4444444444;4;0,4444444444;19;21;15;29;44;40;26;-236;-120,4666666667;-316,7666666667;-0,1875;0;;;;;2;2;4;3;2;3;3;3;4;3;3;4;28;35;2;2;63;1,5449448443;1,2475711882;0,4877712853;1,7562968053;0
51A;51;A;2;678,5714285714;526;763;524,5;697,4444444444;616,2857142857;0,625;0,25;0,5625;22;1;4;4;5;5;3;4;4;3;;;2;4;;;3;2;4;2;3;1;5;5;4;5;4;4;5;4;2;5;;;4;1;1;2;4;2;2;2;3;2;3;2;1;3;4;1;2;3;3;4;3;4,4444444444;3,4;1,0444444444;18;22;;;26;;;40;;;152,5714285714;238,5;81,1587301587;0,3125;0;;;;;2;4;4;3;3;3;2;3;4;4;3;2;30;33;2;2
23A;23;A;2;918,5;709,1666666667;651;653,5;956,3636363636;800;0,75;0,25;0,5625;21;2;3;3;2;3;3;3;4;3;3;2;3;2;2;3;3;3;3;3;4;3;3;3;4;4;3;3;3;4;3;3;1;1;1;4;4;1;1;1;4;3;1;1;4;3;1;1;4;4;4;1;3,4444444444;2,6363636364;0,8080808081;12;19;9;20;29;31;22;209,3333333333;-2,5;156,3636363636;0,3125;0;;;;;2;4;4;4;4;4;4;4;4;4;4;4;40;38;2;2;78;-0,1283340765;3,0572700876;2,9603614268;2,4171010417;0
33A;33;A;3;1349,8333333333;1088,5;913,3333333333;997;1135;1057,2;0;0;0,0625;30;2;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;3;2;2;3;2;3;2;3;3;3;3;3;3;3;2;3;2;2,5;2;3;3;3;3;3,7777777778;3,8181818182;-0,0404040404;16;18;16;26;42;34;23;261,3333333333;-83,6666666667;77,8;0,0625;0;;;;;1;2;3;2;2;2;2;2;3;2,5;3;2;24;26,5;1;1;50,5;-1,2438533571;-0,260511228;-0,3364254285;-0,1159818645;1
30B;30;B;3;1520,8;1133,6666666667;1477,6;1085;926,625;1501;0,625;0;0,3125;21;1;4;3;5;3;4;3;4;4;3;3;4;4;4;3;3;4;3;3;3;4;3;5;3;3;4;3;4;4;3;2;4;4;4;2;3;4;3;3;2;3;3;4;3;2;4;3;2;2;2;3;3,3333333333;3,8181818182;-0,4848484848;13;17;15;27;42;30;22;387,1333333333;392,6;-574,375;0,3125;0;;;;;1;1;1;1;1;2;2;2;1;1;2;2;17;20;1;1;37;-1,2438533571;-1,8892402374;-1,7787696777;-1,5477243767;1
