identyfikator;numer;litera;Warunek;negRPplus;pozRPplus;negRPminus;pozRPminus;negNRP;pozNRP;OdpRPplus;OdpRPminus;OdpNRP;wiek;plec;nastroj;SSPP_1;SSPP_2;SSPP_3;SSPP_4;SSPP_5;SSPP_6;SSPP_7;SSPP_8;SSPP_9;SSPP_10;SSPP_11;SSPP_12;SSPP_13;SSPP_14;SSPP_15;SSPP_16;SSPP_17;SSPP_18;SSPP_19;SSPP_20;SSPP_21;SSPP_22;SSPP_23;SSPP_24;SSPP_25;SSPP_26;SSPP_27;SSPP_8_R;SSPP_26_R;KU_1;KU_2;KU_3;KU_4;KU_5;KU_6;KU_7;KU_8;KU_9;KU_10;KU_11;KU_12;KU_13;KU_14;KU_15;KU_16;KU_17;KU_18;KU_19;KU_20;srePromocja;srePrewencja;rozPromPrew;PromocjaKontrola;PromocjaStandardy;PrewencjaStandardy;PrewencjaKontrola;PrewencjaSuma;PromocjaSuma;Sila;RPplusRoz;RPminusRoz;NRPRoz;RIF;bledy;RPbledy;NRPbledy;NASTAWIENIE;KU_1_R;KU_2_R;KU_3_R;KU_6_R;KU_7_R;KU_8_R;KU_11_R;KU_12_R;KU_15_R;KU_16_R;KU_20_R;AF;AS;AS_med;AF_med;KKU_suma;ZOdpRPminus;ZKKU_suma;ZAF;ZAS;warc;inter_SKU_war;inter_SKU_war1
40A;40;A;3;774;1029;726,5;774,4;755;806,7142857143;0,5;0,375;0,25;23;2;4;5;4;4;4;4;5;5;2;4;4;2;3;4;5;4;4;5;5;4;4;4;4;5;5;3;2;4;4;4;3;2;2;1;3;4;2;2;2;3;2;3;4;2,5;3;1;3;2;1;1;4,5555555556;3,9090909091;0,6464646465;18;23;13;30;43;41;28;-255;-47,9;-51,7142857143;-0,125;1;1;;;2;2;3;3;1;3;3;3;2;2;4;4;23;28,5;2;1;51,5;0,4294255638;-0,1398646347;-0,542474607;0,3245542931;1;51,5
20A;20;A;3;1096,6;647,5;1489;1282,8;875,6363636364;1731,5;0,375;0;0,0625;23;2;3;3;4;5;4;3;5;4;3;1;3;2;1;4;5;5;5;4;3;5;2;5;3;3;4;4;4;4;3;2;2;3;4;3;4;3;4;2;4;4;2;1;4;2;4;2;3;2;2;3;4;3,4545454545;0,5454545455;18;18;8;30;38;36;22;449,1;206,2;-855,8636363636;0,0625;1;1;;;2;3;2;1;2;1;3;3;4;1;3;2;25;28;2;1;53;-1,2438533571;0,0411052552;-0,1303762501;0,2144202537;1;53
60A;60;A;3;1106,6666666667;926,3333333333;1094,6666666667;801,5;1030,125;1136,4285714286;0,375;0,25;0,3125;22;1;4;5;3;4;2;5;4;4;2;2;4;2;2;5;4;4;2;3;4;2;4;5;5;3;2;4;2;5;4;4;4;2;2;2;2;3;3;2;4;3;1;2;3;2;1;1;2;3;2;2;4;2,8181818182;1,1818181818;15;21;8;23;31;36;30;180,3333333333;293,1666666667;-106,3035714286;0,0625;0;;;;;2;1;3;3;2;2;3;4;3;4;4;3;25;30;2;1;55;-0,1283340765;0,2823984418;-0,1303762501;0,6549564113;1
18B;18;B;3;757,4;751;1331;717;845;1049,8333333333;0,5;0,125;0,125;23;1;5;5;5;3;4;3;4;3;5;3;3;3;4;3;4;3;3;4;3;4;4;4;4;3;4;4;4;5;1;2;3;2;3;2;3;3;2;2;4;3;3;2;3;3;2;2;3;2;3;2;3,7777777778;3,7272727273;0,0505050505;16;18;14;27;41;34;20;6,4;614;-204,8333333333;0;0;;;;;1;2;3;2;2;3;3;2;3;3;3;3;26;29;2;2;55;-0,6860937168;0,2823984418;0,0756729284;0,4346883325;1
22C;22;C;3;885,5;1405,4;928,2;838,3333333333;1175,5555555556;854,4;0,625;0,625;0,375;25;1;5;4;5;4;1;4;3;3;2;5;5;3;5;5;2;5;4;4;4;5;4;5;5;4;5;4;2;5;4;4;1;1;1;3;3;2;2;2;3;3;2;2;3;3;1;1;3;3;2;1;3,8888888889;4;-0,1111111111;15;20;14;30;44;35;32;-519,9;89,8666666667;321,1555555556;-0,25;2;;;1;1;4;4;4;3;3;3;3;3;4;4;4;33;32;2;2;65;1,5449448443;1,4888643748;1,5180171776;1,0954925689;1;65
14B;14;B;3;919;1191,6666666667;738;736,5;1243,6;1083,6666666667;0,625;0,25;0,1875;23;1;3;5;4;4;4;5;4;4;1;4;3;3;2;4;4;4;3;4;4;4;4;4;4;4;4;4;2;4;5;4;3;2;2;2;3;2;1;3;2;2;2;1;2;3;2;2;3;2;3;2;4,2222222222;3,6363636364;0,5858585859;17;21;13;27;40;38;28;-272,6666666667;1,5;159,9333333333;-0,0625;0;;;;;2;2;3;3;3;4;2;3;4;3;3;3;26;29;2;2;55;-0,1283340765;0,2823984418;0,0756729284;0,4346883325;1
9A;9;A;3;1519;1210,5;987,8;880,6666666667;987,625;1244,2;0,875;0;0;24;2;5;4;5;4;3;3;4;3;2;2;5;3;2;2;3;3;3;4;4;3;4;4;3;4;4;3;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;1;3;2;2;2;2;2;3;2;3,7777777778;3,2727272727;0,5050505051;14;20;10;26;36;34;25;308,5;107,1333333333;-256,575;0;0;;;;;2;3;3;3;3;3;3;3;4;3;3;3;26;29;2;2;55;-1,2438533571;0,2823984418;0,0756729284;0,4346883325;1
24B;24;B;3;944,5;773,5;773,6666666667;630,75;718,9090909091;764,4;0,875;0,125;0,4375;24;1;4;3;2;4;4;4;4;2;2;3;4;3;2;4;4;4;4;2;3;4;4;4;4;4;3;3;2;4;4;4;2;2;2;3;3;2;3;3;2;3;2;1;3;3;2;2;3;2;3;3;3,7777777778;2,9090909091;0,8686868687;15;19;12;20;32;34;28;171;142,9166666667;-45,4909090909;0,3125;0;;;;;2;3;3;3;3;2;2;3;4;3;3;2;26;30;2;2;56;-0,6860937168;0,4030450351;0,0756729284;0,6549564113;1
5D;5;D;3;879;777,5714285714;799,7142857143;700;811,6;688;0,375;0,5;0,3125;23;2;4;5;4;4;4;4;3;3;2;4;4;4;4;3;4;4;3;4;4;5;4;3;3;4;4;3;4;4;4;2;2;3;1;2;3;2;2;1;2;3;2;2;3;2;2;2;3;2;2;2;4,1111111111;3,6363636364;0,4747474747;18;19;16;24;40;37;24;101,4285714286;99,7142857143;123,6;-0,1875;1;;;;;2;3;2;4;3;3;4;3;3;3;3;3;28;28;2;2;56;0,987185204;0,4030450351;0,4877712853;0,2144202537;1
18A;18;A;3;1198,5;1376;1145,25;1134,75;1275;1050,3333333333;0,5;0,625;0,4375;24;2;4;;;5;3;2;5;5;5;2;2;5;3;2;4;4;5;4;5;5;4;3;5;4;4;4;4;2;4;4;4;3;1;2;3;3;2;2;3;3;3;2;2;4;1;2;1;3;2;3;1;4,25;3,7272727273;0,5227272727;;;23;9;32;41;;;29;-177,5;10,5;224,6666666667;-0,1875;2;;;2;2;2;4;3;3;3;2;3;3;3;4;4;28;31;2;2;59;1,5449448443;0,764984815;0,4877712853
39A;39;A;3;658;571,3333333333;1043;1167,5;938,5714285714;1007,375;0,5;0;0,0625;26;2;4;4;3;4;2;4;5;3;1;3;3;2;4;4;5;4;3;4;4;4;2;3;4;4;3;2;3;3;5;3;2;2;2;4;3;1;2;2;3;3;1;1;3;3;1;2;3;2;3;3;4,1111111111;2,9090909091;1,202020202;17;20;11;21;32;37;25;86,6666666667;-124,5;-68,8035714286;0,0625;0;;;;;2;3;3;3;4;3;3;4;4;4;3;2;31;32;2;2;63;-1,2438533571;1,2475711882;1,1059188207;1,0954925689;1
55A;55;A;3;1045,25;918;1071;1020,3333333333;1186,5;1249,75;0,625;0,375;0,375;23;1;3;5;4;4;3;5;5;4;1;2;5;4;2;4;4;5;4;5;5;5;5;4;4;3;4;4;1;3;5;5;2;1;2;3;4;2;1;2;4;4;1;2;3;3;2;1;3;2,5;3;3;4,3333333333;3,6363636364;0,696969697;18;21;11;29;40;39;33;127,25;50,6666666667;-63,25;0;0;;;;;2;3;4;3;3;4;3;4;3;3;4;2;33,5;32;2;2;65,5;0,4294255638;1,5491876714;1,6210417668;1,0954925689;1
38A;38;A;3;1408,6666666667;951;809;1693,6666666667;1019;1174,2;0,5;0,125;0,25;25;1;3;5;4;5;1;4;5;2;1;2;5;2;2;5;4;5;3;3;5;5;5;3;5;5;3;1;1;3;5;5;1;1;1;4;3;2;1;3;4;3;2;1;4;4;1;1;4;3;4;4;4,5555555556;2,3636363636;2,1919191919;19;22;7;19;26;41;35;457,6666666667;-884,6666666667;-155,2;0,125;2;1;1;2;4;4;4;3;4;2;3;4;4;4;1;35;35;2;2;70;-0,6860937168;2,0920973412;1,9301155345;1,7562968053;1;70;210
7C;7;C;3;853,25;928,25;784,6666666667;749,8;922,3636363636;787,4;0,75;0,375;0,25;17;1;5;5;5;5;5;5;3;4;1;3;5;1;5;5;4;5;1;5;5;1;5;5;5;5;1;4;1;3;5;5;1;1;1;4;4;1;1;1;4;4;1;1;4;4;1;1;4;4;4;4;4;3,5454545455;0,4545454545;15;21;14;25;39;36;35;-75;34,8666666667;134,9636363636;-0,125;4;1;3;2;4;4;4;4;4;4;4;4;4;4;1;40;37;2;2;77;0,4294255638;2,9366234943;2,9603614268;2,1968329629;1;77;231
